,price_log,bedrooms,bathrooms,sqft_living_log,sqft_lot,floors,waterfront,view,condition,grade,sqft_above_log,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15_log,sqft_lot15,distance
0,5.346157302232008,3,1.0,3.0718820073061255,5650,1.0,0,0,3,7,3.0718820073061255,0,1955,0,98178,47.5112,-122.257,3.1271047983648077,5650,13.422914557117396
1,5.730782275666389,3,2.25,3.4099331233312946,7242,2.0,0,0,3,7,3.3364597338485296,400,1951,1991,98125,47.721,-122.319,3.2278867046136734,7639,10.796972840793446
2,5.2552725051033065,2,1.0,2.886490725172482,10000,1.0,0,0,3,6,2.886490725172482,0,1933,0,98028,47.7379,-122.233,3.4345689040341987,8062,14.292711345733366
3,5.781036938621132,4,3.0,3.292256071356476,5000,1.0,0,0,5,7,3.0211892990699383,910,1965,0,98136,47.5208,-122.393,3.1335389083702174,5000,12.679519942967001
4,5.707570176097937,3,2.0,3.225309281725863,8080,1.0,0,0,3,8,3.225309281725863,0,1987,0,98074,47.6168,-122.045,3.255272505103306,7503,20.75985412715162
5,6.088136088700551,4,4.5,3.733999286538387,101930,1.0,0,0,3,11,3.5899496013257077,1530,2001,0,98053,47.6561,-122.005,3.677606952720493,101930,24.011180170973297
6,5.4107772333772095,3,2.25,3.2342641243787895,6819,2.0,0,0,3,7,3.2342641243787895,0,1995,0,98003,47.3097,-122.327,3.3498600821923312,6819,34.93569758424681
7,5.465159697646179,3,1.5,3.0253058652647704,9711,1.0,0,0,3,7,3.0253058652647704,0,1963,0,98198,47.4095,-122.315,3.2174839442139063,9711,23.841425843621295
8,5.36078268987328,3,1.0,3.250420002308894,7470,1.0,0,0,3,7,3.0211892990699383,730,1960,0,98146,47.5123,-122.337,3.250420002308894,8113,12.466406564996934
9,5.509202522331103,3,2.5,3.2764618041732443,6560,2.0,0,0,3,7,3.2764618041732443,0,2003,0,98038,47.3684,-122.031,3.3783979009481375,7570,35.83717227095595
10,5.821185882608845,3,2.5,3.5514499979728753,9796,1.0,0,0,3,8,3.2695129442179165,1700,1965,0,98007,47.6007,-122.145,3.3443922736851106,8925,13.478871076087183
11,5.670245853074124,2,1.0,3.0644579892269186,6000,1.0,0,0,4,7,2.934498451243568,300,1942,0,98115,47.69,-122.292,3.123851640967086,6000,7.664623920424562
12,5.491361693834273,3,1.0,3.155336037465062,19901,1.5,0,0,4,7,3.155336037465062,0,1927,0,98028,47.7558,-122.229,3.250420002308894,12697,16.20913005105707
13,5.6020599913279625,3,1.75,3.1367205671564067,9680,1.0,0,0,4,7,3.1367205671564067,0,1977,0,98074,47.6127,-122.045,3.1367205671564067,10208,20.782990130832925
14,5.724275869600789,5,2.0,3.2576785748691846,4850,1.5,0,0,3,7,3.2576785748691846,0,1900,0,98107,47.67,-122.394,3.1335389083702174,4850,7.508648569978466
15,5.812913356642856,4,3.0,3.469822015978163,5000,2.0,0,3,3,9,3.296665190261531,970,1979,0,98126,47.5714,-122.375,3.330413773349191,4000,7.112158611382682
16,5.596597095626461,3,2.0,3.2764618041732443,14040,2.0,0,0,3,7,3.2764618041732443,0,1994,0,98019,47.7277,-121.962,3.2764618041732443,14018,29.32217725581273
17,5.685741738602264,4,1.0,3.2041199826559246,4300,1.5,0,0,4,7,3.2041199826559246,0,1916,0,98103,47.6648,-122.343,3.2068258760318495,4300,4.839344191475898
18,5.276461804173244,2,1.0,3.0791812460476247,9850,1.0,0,0,4,7,3.0791812460476247,0,1921,0,98002,47.3089,-122.21,3.0253058652647704,5095,36.00705650447235
19,5.361727836017593,3,1.0,3.0969100130080562,9774,1.0,0,0,4,7,3.0969100130080562,0,1969,0,98003,47.3343,-122.306,3.1072099696478683,8850,32.21753981275462
20,5.585460729508501,4,1.75,3.2095150145426308,4980,1.0,0,0,4,7,2.934498451243568,760,1947,0,98133,47.7025,-122.341,3.146128035678238,4980,8.86762137190259
21,6.301029995663981,3,2.75,3.484299839346786,44867,1.0,0,4,3,9,3.367355921026019,720,1968,0,98040,47.5316,-122.233,3.6138418218760693,20336,12.211026139443849
22,5.45484486000851,5,2.5,3.3560258571931225,6300,2.0,0,0,3,8,3.3560258571931225,0,1995,0,98092,47.3266,-122.169,3.3502480183341627,7005,34.98252030874651
